"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Zero no Tsukaima,7.23,7.82,-0.59000015,2925,1195,10300,Jul 2006 - Sep 2006,Jun 2004 - Feb 2017
Adachi to Shimamura,7.1,7.69,-0.59000015,3546,1670,7126,Oct 2020 - Dec 2020,May 2019 - Dec 2023
Death March kara Hajimaru Isekai Kyousoukyoku,6.46,7.05,-0.59000015,6615,7834,28257,Jan 2018 - Mar 2018,Nov 2014 - Dec 2023
Mairimashita! Iruma-kun,7.75,8.34,-0.59000015,1019,259,52263,Oct 2019 - Mar 2020,Mar 2017 - Dec 2023
Getsuyoubi no Tawawa,6.42,7.01,-0.59000015,6791,8341,9658,Oct 2016 - Dec 2016,Nov 2020 - Dec 2023
Shadows House,7.79,8.38,-0.59000015,948,222,36169,Apr 2021 - Jul 2021,Sep 2018 - Dec 2023
Gal to Kyouryuu,6.44,7.03,-0.59000015,6701,8116,2450,Apr 2020 - Dec 2020,Oct 2018 - Jan 2022
Genshiken,7.63,8.23,-0.5999994,1319,373,38857,Oct 2004 - Dec 2004,Apr 2002 - Aug 2016
Grand Blue,8.43,9.03,-0.5999994,154,9,166433,Jul 2018 - Sep 2018,Apr 2014 - Dec 2023
Nijiiro☆Prism Girl,6.09,6.69,-0.5999999,8451,12757,500,Aug 2013 - Nov 2013,Sep 2010 - Nov 2013
Bartender,7.34,7.94,-0.5999999,2332,855,16212,Oct 2006 - Dec 2006,Dec 2004 - Dec 2011
Hai to Gensou no Grimgar,7.65,8.25,-0.5999999,1259,354,20804,Jan 2016 - Mar 2016,Jun 2013 - Dec 2023
Amaama to Inazuma,7.53,8.13,-0.5999999,1611,511,23728,Jul 2016 - Sep 2016,Feb 2013 - Dec 2018
Seirei Gensouki,7.06,7.66,-0.5999999,3729,1839,7312,Jul 2021 - Sep 2021,Oct 2015 - Dec 2023
Uchi no Shishou wa Shippo ga Nai,6.71,7.31,-0.5999999,5291,4490,2043,Sep 2022 - Dec 2022,Jan 2019 - Dec 2023
Vanitas no Karte,7.9,8.5,-0.5999999,728,134,59524,Jul 2021 - Sep 2021,Dec 2015 - Dec 2023
Katsute Kami Datta Kemono-tachi e,6.4,7.0,-0.5999999,6885,8532,9441,Jul 2019 - Sep 2019,Jun 2014 - Jun 2023
Attack No.1,6.94,7.54,-0.5999999,4254,2549,671,Dec 1969 - Nov 1971,Jan 1968 - Nov 1971
Bungou Stray Dogs,7.82,8.42,-0.5999999,877,187,9700,Apr 2016 - Jun 2016,Apr 2014 - Dec 2023
Deadman Wonderland,7.15,7.75,-0.5999999,3334,1435,4353,Apr 2011 - Jul 2011,Apr 2011 - Jul 2011
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",7.1,7.7,-0.5999999,3538,1656,17158,Jul 2019 - Sep 2019,Jul 2016 - Dec 2023
Puchimas!: Petit iDOLM@STER,7.12,7.72,-0.5999999,3455,1557,1236,Jan 2013 - Mar 2013,Jul 2008 - Dec 2023
Citrus,6.45,7.05,-0.6000004,6632,7868,2882,Jan 2018 - Mar 2018,Oct 2010 - Jul 2011
Yume Tsukai,6.41,7.01,-0.6000004,6838,8441,1318,Apr 2006 - Jun 2006,Jan 2001 - Dec 2003
Ookami to Koushinryou,8.22,8.83,-0.60999966,324,30,61449,Jan 2008 - Mar 2008,Feb 2006 - Dec 2023
